mc_run_id,grouping,mean_watscar,mean_watuse,sd_watscar,sd_watuse,n_participants,sex,diet_group,age_group,diet_sex_group,outliers
3,veggie_male_50-59,16472.10087,659.7399723,8353.382858,361.9798457,426,male,veggie,50-59,veggie_male,0
3,veggie_male_60-69,17302.77469,717.7835107,9848.140792,508.8741453,229,male,veggie,60-69,veggie_male,0
3,veggie_male_70-79,19712.07241,758.7258179,12462.0781,468.9654518,158,male,veggie,70-79,veggie_male,0
4,vegan_female_20-29,11011.40755,569.1841067,6226.30281,531.5911502,487,female,vegan,20-29,vegan_female,0
4,vegan_female_30-39,11210.71983,635.6297758,6291.224383,579.6488774,376,female,vegan,30-39,vegan_female,0
4,vegan_female_40-49,12045.46873,702.8958401,8403.553718,781.6877137,219,female,vegan,40-49,vegan_female,0
4,vegan_female_50-59,12003.97287,546.1066671,8167.371519,376.2332492,106,female,vegan,50-59,vegan_female,0
4,vegan_female_60-69,11364.44618,547.7818721,6535.42992,439.4976088,81,female,vegan,60-69,vegan_female,0
4,vegan_female_70-79,11327.09935,728.4764136,5205.868722,549.6862941,25,female,vegan,70-79,vegan_female,0
4,vegan_male_20-29,11698.41225,615.8355074,7049.252496,479.6648279,198,male,vegan,20-29,vegan_male,0
4,vegan_male_30-39,11362.52991,620.0412408,6228.075599,530.3143699,251,male,vegan,30-39,vegan_male,0
4,vegan_male_40-49,11157.8111,665.848949,6044.442117,668.1008011,165,male,vegan,40-49,vegan_male,0
4,vegan_male_50-59,11152.5314,519.2614061,5004.427144,324.9813316,62,male,vegan,50-59,vegan_male,0
4,vegan_male_60-69,12143.53557,655.2983964,6671.158797,703.8656926,52,male,vegan,60-69,vegan_male,0
4,vegan_male_70-79,9725.95904,655.4721337,3404.766708,528.6827131,19,male,vegan,70-79,vegan_male,0
4,veggie_female_20-29,16731.97069,630.4722416,7469.922062,330.6999537,3752,female,veggie,20-29,veggie_female,0
4,veggie_female_30-39,16812.47371,659.1287035,7302.986486,330.0241478,3634,female,veggie,30-39,veggie_female,0
4,veggie_female_40-49,17230.53367,671.6157889,7548.998295,343.6443508,2696,female,veggie,40-49,veggie_female,0
4,veggie_female_50-59,17927.44099,685.3802235,8083.093106,375.3832221,1203,female,veggie,50-59,veggie_female,0
4,veggie_female_60-69,17531.92733,685.897939,7732.940866,426.6310264,536,female,veggie,60-69,veggie_female,0
4,veggie_female_70-79,17256.56022,639.0986925,7627.78671,312.3984918,289,female,veggie,70-79,veggie_female,0
4,veggie_male_20-29,16727.43653,661.5007997,7375.736553,302.3728035,646,male,veggie,20-29,veggie_male,0
4,veggie_male_30-39,16452.63056,667.8243829,7702.010453,390.0092419,1221,male,veggie,30-39,veggie_male,0
4,veggie_male_40-49,15905.00296,668.7215932,6856.318998,332.6921417,961,male,veggie,40-49,veggie_male,0
4,veggie_male_50-59,16047.79311,614.863443,6860.468797,303.3799354,426,male,veggie,50-59,veggie_male,0
4,veggie_male_60-69,16196.96103,651.2760978,6957.095206,558.1802735,229,male,veggie,60-69,veggie_male,0
4,veggie_male_70-79,16766.06598,622.7281193,7578.457835,313.6939744,158,male,veggie,70-79,veggie_male,0
5,vegan_female_20-29,6479.034477,211.5263139,3134.796307,93.84638449,487,female,vegan,20-29,vegan_female,0
5,vegan_female_30-39,6550.942568,209.5560648,2787.168317,90.40498053,376,female,vegan,30-39,vegan_female,0
5,vegan_female_40-49,7275.826982,224.2217526,4620.256889,115.9036711,219,female,vegan,40-49,vegan_female,0
5,vegan_female_50-59,7561.466614,224.5603532,4088.22304,101.9986424,106,female,vegan,50-59,vegan_female,0
5,vegan_female_60-69,8052.158065,232.8460291,4085.585077,106.1518157,81,female,vegan,60-69,vegan_female,0
5,vegan_female_70-79,8583.36023,250.0558451,3887.880738,127.065053,25,female,vegan,70-79,vegan_female,0
